id,Shop,Date,Cost,Base Games,DLCs,Bundle Name
270,GOG,2009-07-13,"6,97€",Jagged Alliance,,
271,GOG,2009-07-13,"6,97€",Jagged Alliance: Deadly Games,,
272,GOG,2009-07-13,"4,38€",Ground Control Anthology,,
273,GOG,2009-04-21,"3,73€",Fallout Tactics,,
274,GOG,2009-03-31,"0,00€",Teenagent,,
275,GOG,2009-02-20,"6,77€",Oddworld: Abe's Oddysee,,
276,GOG,2009-02-20,"6,77€",Oddworld: Abe's Exoddus,,
277,GOG,2008-12-21,"0,00€","Beneath a Steel Sky,Lure of the Temptress",,
278,GOG,2008-11-05,"4,66€",Fallout,,
279,GOG,2008-11-05,"4,66€",Fallout 2,,
280,GOG,2008-11-05,"4,66€",FreeSpace 2,,
281,Epic Games,2021-10-31,"0,00€",DARQ: Complete Edition,,
282,Steam,2021-11-07,"16,24€",Pistol Whip,,
283,Epic Games,2021-11-09,"0,00€","Aven Colony,Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure",,
284,Epic Games,2021-11-14,"0,00€",Rogue Company,Rogue Company Season Four Epic Pack,
285,Steam,2021-11-17,"0,00€",VRChat,,
286,Epic Games,2021-11-21,"0,00€","Guild of Dungeoneering,KID A MNESIA EXHIBITION,Never Alone (Kisima Ingitchuna)",,
287,Epic Games,2021-11-27,"0,00€","theHunter: Call of the Wild,Antstream Arcade",Antstream - Epic Welcome Pack,
288,Steam,2021-11-28,"24,99€",Half-Life: Alyx,,
289,Steam,2021-11-28,"9,49€",DCS: A-10C II Tank Killer,,DCS: A-10C II Tank Killer Upgrade
290,GOG,2021-12-03,"0,00€",Crime Cities,,
291,Epic Games,2021-12-08,"0,00€","Dead by Daylight,while True: learn ()",,
292,Epic Games,2021-12-10,"0,00€","Prison Architect,Godfall Challenger Edition",,
293,Epic Games,2021-12-17,"0,00€",Neon Abyss,,
294,Epic Games,2021-12-20,"0,00€",The Vanishing of Ethan Carter,,
295,"Indiegala,DDL",2021-12-20,"0,00€","Snowball,NORTH",,
296,"Gamesplanet,Steam",2021-12-21,"0,00€","Dying Light - Enhanced Edition,Dying Light 2 Stay Human",Pre-order pack,Bundled with Asus motherboard
297,Epic Games,2021-12-21,"0,00€",Loop Hero,,
298,Epic Games,2021-12-21,"0,00€",Second Extinction,,
299,Epic Games,2021-12-22,"0,00€",Mutant Year Zero: Road to Eden,,
300,Epic Games,2021-12-24,"0,00€",Vampyr,,
301,Epic Games,2021-12-24,"0,00€",Pathfinder: Kingmaker - Enhanced Plus Edition,,
302,Epic Games,2021-12-25,"0,00€",Prey,,
303,Epic Games,2021-12-28,"0,00€",Mages of Mystralia,,
304,Epic Games,2021-12-29,"0,00€",Moving Out,,
305,Epic Games,2021-12-30,"0,00€",Salt and Sanctuary,,
306,Epic Games,2021-12-30,"0,00€","Tomb Raider (2013) GOTY Edition,Shadow of the Tomb Raider: Definitive Edition,Rise of the Tomb Raider: 20 Year Celebration",,
307,GOG,2022-01-05,"0,00€",Iratus: Lord of the Dead,,
308,Epic Games,2022-01-08,"0,00€",Gods Will Fall,,
309,Epic Games,2022-01-21,"0,00€",Relicta,,
310,Epic Games,2022-01-27,"0,00€",DAEMON X MACHINA,,
311,Steam,2022-01-28,"22,49€",Zenith MMO,,
312,Epic Games,2022-01-28,"7,18€",Hades,,
313,Epic Games,2022-01-28,"3,95€",Journey,,
314,Epic Games,2022-02-05,"0,00€",Yooka-Laylee and the Impossible Lair,,
315,Epic Games,2022-02-11,"0,00€",Windbound,,
316,Epic Games,2022-02-18,"0,00€",Brothers: A Tale of Two Sons,,
317,Steam,2022-02-24,"0,00€",Lost Ark,,
318,Epic Games,2022-02-24,"0,00€",Cris Tales,,
319,"Indiegala,Steam",2022-02-27,"50,39€",Elden Ring,,
320,Epic Games,2022-03-03,"0,00€","Black Widow: Recharged,Centipede: Recharged,Dauntless",Epic Slayer Kit,
321,Epic Games,2022-03-18,"0,00€",In Sound Mind,,
322,"Humble Store,Steam",2022-03-25,"36,39€","Crying Suns,Drawful 2,Nex Machina,Pathway,Pikuniku,Superhot,System Shock: Enhanced Edition,Yoku's Island Express,Brothers: A Tale of Two Sons,Back 4 Blood,Satisfactory,Metro Exodus,Sunset Overdrive,Fable Anniversary,Spyro Reignited Trilogy,Slay the Spire,PGA Tour 2K21,Starbound,Car Mechanic Simulator 2018,Monaco: What's Yours Is Mine,Supraland,Ring of Pain,Popup Dungeon,Wizard of Legend,Wandersong,Expeditions: Viking,Vagante,Skullgirls 2nd Encore,Endless Space 2,Wargroove,Ryse: Son of Rome,Inmost,Rustler,112 Operator,911 Operator,Radio Commander,Amnesia: Rebirth,Kingdom Two Crowns,West of Dead,Tooth and Tail,Dear Esther: Landmark Edition,Driftland: The Magic Revival,WARSAW,Toejam & Earl: Back in the Groove,Book of Demons,Iron Danger,Fury Unleashed,X-Morph: Defense,Motorcycle Mechanic Simulator 2021,Out of Reach: Treasure Royale,ΔV: Rings of Saturn,Gloria Victis,EarthX,Neverout,Telefrag VR,Pawnbarian,Say No! More,NecroWorm,Hexologic,Post Void,Moon Hunters,Lust from Beyond: M Edition,The Amazing American Circus,Roarr! Jurassic Edition,Corridor Z,Draw Slasher,Shing!,The USB Stick Found in the Grass,Go Home Dinosaurs!,Dagon: by H. P. Lovecraft,We are alright,Going Under,Soulblight,Treasure Hunter Simulator,Orbital Racer,Lust for Darkness,GameGuru,RPG Maker VX,Slinger VR,Pixplode","The Eldritch Box,European Assault,Survival of the Fittest,Last Bastion",Stand with Ukraine Bundle (1/)
323,Epic Games,2022-04-01,"0,00€","Total War: WARHAMMER,City of Brass",,
324,"Humble Store,GOG",2022-03-25,"0,00€","Liberated,Wanderlust: Travel Stories",,Stand with Ukraine Bundle (2/)
325,"Humble Store,Rockstar Games",2022-03-25,"0,00€",Max Payne 3,,Stand with Ukraine Bundle (3/)
326,Steam,2022-04-03,"0,00€","Atari Vault,Besiege,FRAMED Collection ,Party Hard 2,The Bridge",,Nitor Gaming extra codes
327,Epic Games,2022-04-09,"0,00€",Rogue Legacy,,
328,Epic Games,2022-04-15,"0,00€","Insurmountable,XCOM 2",,
329,Epic Games,2022-04-23,"0,00€","Amnesia: Rebirth,Riverbond",,
330,Epic Games,2022-04-30,"0,00€","Just Die Already,Paradigm",,
331,Epic Games,2022-05-05,"0,00€",Terraforming Mars,,
332,Epic Games,2022-05-13,"0,00€","Jotun: Valhalla Edition,Redout: Enhanced Edition",,
333,Epic Games,2022-05-21,"0,00€",Borderlands 3,,
334,Epic Games,2022-05-27,"0,00€","BioShock Remastered,BioShock 2 Remastered,BioShock Infinite: The Complete Edition",,BioShock: The Collection
335,Epic Games,2022-06-03,"0,00€",Wolfenstein: The New Order,,
336,Epic Games,2022-06-12,"0,00€",Maneater,,
337,Epic Games,2022-06-17,"0,00€",Supraland,,
338,Steam,2022-06-24,"26,24€",Gloomhaven,,
339,Steam,2022-06-24,"0,00€",The Cycle: Frontier,,
340,Epic Games,2022-06-25,"0,00€","Car Mechanic Simulator 2018,A Game Of Thrones: The Board Game Digital Edition",,
341,Epic Games,2022-07-01,"0,00€","Iratus: Lord of the Dead,Geneforge 1: Mutagen,Hood: Outlaws & Legends",,
342,Epic Games,2022-07-08,"0,00€",Ancient Enemy,,
343,Epic Games,2022-07-17,"0,00€",Wonder Boy: The Dragon's Trap,,
344,Steam,2022-07-23,"19,54€",Kayak VR: Mirage,,
345,Epic Games,2022-07-23,"32,82€",MechWarrior 5: Mercenaries - JumpShip Edition,"MechWarrior 5: Heroes of the Inner Sphere,MechWarrior 5: Legend of the Kestrel Lancers,MechWarrior 5: Mercenaries Digital Extras",
346,Epic Games,2022-07-26,"0,00€",Tannenberg,,
347,Epic Games,2022-08-11,"0,00€","""Cook, Serve, Delicious! 3?!""",,
348,Steam,2022-08-17,"0,00€",BATTALION: Legacy,,
349,Epic Games,2022-08-19,"0,00€","Rumbleverse,DOOM 64",Boom Boxer Content Pack,
350,Steam,2022-08-23,"9,99€",DiRT Rally 2.0 Game of the Year Edition,,
351,GOG,2022-08-24,"8,00€",Shadow Tactics: Blades of the Shogun - Aiko's Choice,,
352,GOG,2022-08-24,"1,99€",,Soundtrack,
353,Epic Games,2022-08-25,"0,00€","Destiny 2,Ring of Pain",Destiny 2: Bungie 30th Anniversary Pack,
354,Epic Games,2022-09-01,"0,00€",Submerged: Hidden Depths,,
355,Epic Games,2022-09-10,"0,00€",Hundred Days - Winemaking Simulator,,
356,Epic Games,2022-09-10,"0,00€",Realm Royale Reforged,Realm Royale Reforged Epic Launch Bundle,
357,Epic Games,2022-09-22,"0,00€","Spirit of the North,The Captain",,
358,Epic Games,2022-09-22,"0,00€",Gloomhaven,,
359,Epic Games,2022-09-30,"0,00€","Runbow,The Drone Racing League Simulator",,
360,Epic Games,2022-10-13,"0,00€","Rising Hell,Slain: Back From Hell",,
361,Epic Games,2022-10-13,"0,00€","Darkwood,ToeJam & Earl: Back in the Groove!",,
362,Epic Games,2022-10-24,"0,00€","Fallout 3: Game of the Year Edition,Evoland Legendary Edition",,
363,Epic Games,2022-10-30,"0,00€","Saturnalia,""Warhammer 40,000: Mechanicus""",,
364,Epic Games,2022-11-03,"0,00€","Rising Storm 2: Vietnam,Filament",,
365,Epic Games,2022-11-06,"0,00€",Warhammer: Vermintide 2,,
366,Steam,2022-11-06,"9,89€",Deep Rock Galactic,,
367,Epic Games,2022-11-12,"0,00€","Shadow Tactics: Blades of the Shogun,Alba - A Wildlife Adventure",,
368,Epic Games,2022-11-17,"0,00€","Dark Deity,Evil Dead: The Game",Epic Cheerleader Pack,
369,"Humble Store,Steam",2022-11-18,"12,05€","I Expect You To Die,Superhot VR,Cook-Out,Acron: Attack of the Squirrels,Until You Fall,The Wizards - Dark Times,Sairento VR,Car Mechanic Simulator VR,Shooty Fruity,The Curious Tale of the Stolen Pets,A Fisherman's Tale",,Black Friday VR Voyager's Pack
370,Epic Games,2022-11-25,"0,00€",Star Wars: Squadrons,,
371,"Fanatical,Steam",2022-11-27,"16,79€",Total War: THREE KINGDOMS,,
372,Epic Games,2022-12-02,"0,00€","Fort Triumph,RPG in a Box",,
373,Steam,2022-12-03,"0,00€",VRoid Studio,,
374,Epic Games,2022-12-09,"0,00€","Saints Row IV Re-Elected,Wildcat Gun Machine",,
375,GOG,2022-12-17,"0,00€",King of Seas,,
376,Epic Games,2022-12-20,"0,00€",Them's Fightin' Herds,,
377,Epic Games,2022-12-21,"0,00€",LEGO Builder's Journey,,
378,Epic Games,2022-12-22,"0,00€","Fallout,Fallout 2,Fallout Tactics",,
379,Epic Games,2022-12-23,"0,00€",Encased,,
380,Epic Games,2022-12-25,"0,00€",Death Stranding,,
381,Epic Games,2022-12-27,"0,00€",F.I.S.T.: Forged In Shadow Torch,,
382,Steam,2022-12-28,"8,39€",Untitled Goose Game,,
383,Epic Games,2022-12-28,"0,00€",Mortal Shell,,
384,Epic Games,2022-12-31,"0,00€","Dishonored - Definitive Edition,Eximius: Seize the Frontline",,
385,Epic Games,2023-01-09,"0,00€","Kerbal Space Program,Shadow Tactics: Blades of the Shogun - Aiko's Choice",,
386,Epic Games,2023-01-13,"0,00€","Divine Knockout (DKO),First Class Trouble,Gamedec - Definitive Edition",,
